eplenmean,eprewmean,explained_variance,fps,nupdates,policy_entropy,total_timesteps,value_loss
200.0,-200.0,0.000896751880645752,465,20400,1.0981383323669434,102000,9419.1875
200.0,-200.0,0.9603941030800343,465,20500,1.096114158630371,102500,2.4854671210050583e-07
200.0,-200.0,0.0014940500259399414,464,20600,1.0976557731628418,103000,9422.3720703125
200.0,-200.0,-57.34550476074219,464,20700,1.0979313850402832,103500,6.705254691041773e-06
200.0,-200.0,-0.0009688138961791992,464,20800,1.0978684425354004,104000,9420.5146484375
200.0,-200.0,-1.5495998859405518,464,20900,1.098036289215088,104500,1.6384758509957464e-06
200.0,-200.0,7.367134094238281e-05,463,21000,1.0982389450073242,105000,9419.9296875
200.0,-200.0,-14.262311935424805,463,21100,1.0916931629180908,105500,3.479211500234669e-06
200.0,-200.0,0.0001410841941833496,463,21200,1.0974464416503906,106000,9428.1552734375
200.0,-200.0,-13.653210639953613,463,21300,1.0917937755584717,106500,2.0113657228648663e-06
200.0,-200.0,-0.0010027885437011719,462,21400,1.0967111587524414,107000,9415.5107421875
200.0,-200.0,-4.600450038909912,462,21500,1.0981450080871582,107500,4.467729013413191e-06
200.0,-200.0,-0.00012171268463134766,462,21600,1.0981038808822632,108000,9420.5107421875
200.0,-200.0,0.9752151742577553,462,21700,1.0983664989471436,108500,1.6519333456699314e-08
200.0,-200.0,0.002473592758178711,461,21800,1.098576545715332,109000,9414.3681640625
200.0,-200.0,0.5227700769901276,461,21900,1.0914149284362793,109500,1.4973338124946167e-07
200.0,-200.0,0.0009308457374572754,461,22000,1.0985510349273682,110000,9414.294921875
200.0,-200.0,-40.66425704956055,461,22100,1.0932140350341797,110500,1.8816790543496609e-06
200.0,-200.0,-0.0017603635787963867,460,22200,1.0981402397155762,111000,9426.7080078125
200.0,-200.0,-12.639008522033691,460,22300,1.0973787307739258,111500,1.075242198567139e-05
200.0,-200.0,0.0006434321403503418,460,22400,1.0980231761932373,112000,9423.798828125
200.0,-200.0,0.08702170848846436,460,22500,1.0947740077972412,112500,7.053604633711075e-08
200.0,-200.0,0.003414154052734375,460,22600,1.0970306396484375,113000,9415.037109375
200.0,-200.0,-17.73821258544922,459,22700,1.0921258926391602,113500,2.202368250436848e-06
200.0,-200.0,0.0038402676582336426,459,22800,1.09676992893219,114000,9409.658203125
200.0,-200.0,-11.539527893066406,459,22900,1.0910189151763916,114500,7.517554422520334e-06
200.0,-200.0,-0.0017232894897460938,459,23000,1.0984539985656738,115000,9417.9921875
200.0,-200.0,-2.7116427421569824,458,23100,1.088436484336853,115500,3.5921112839787384e-07
200.0,-200.0,-0.0012499094009399414,458,23200,1.0985991954803467,116000,9416.728515625
200.0,-200.0,-2.248065948486328,458,23300,1.098217487335205,116500,1.260894350707531e-06
200.0,-200.0,0.0011388659477233887,458,23400,1.0983974933624268,117000,9420.310546875
200.0,-200.0,-7160.18505859375,458,23500,1.0972723960876465,117500,1.1658563380478881e-05
200.0,-200.0,0.0005384683609008789,457,23600,1.098567008972168,118000,9422.1513671875
200.0,-200.0,-253.14027404785156,457,23700,1.095169186592102,118500,6.437988304242026e-06
200.0,-200.0,-0.0005506277084350586,457,23800,1.0983200073242188,119000,9418.232421875
200.0,-200.0,-25.436847686767578,457,23900,1.0927972793579102,119500,8.860603202265338e-07
200.0,-200.0,0.0007634162902832031,457,24000,1.0973119735717773,120000,9420.3408203125
200.0,-200.0,0.2974740266799927,456,24100,1.0984746217727661,120500,1.441221684217453e-07
200.0,-200.0,-0.0037578344345092773,456,24200,1.0956143140792847,121000,9417.6171875
200.0,-200.0,-48.108917236328125,456,24300,1.095005989074707,121500,9.247695743397344e-06
200.0,-200.0,0.003443777561187744,456,24400,1.0980324745178223,122000,9409.8642578125
200.0,-200.0,0.8291853666305542,456,24500,1.0965783596038818,122500,2.6985071954754858e-08
200.0,-200.0,-0.0005279779434204102,455,24600,1.0976272821426392,123000,9414.7109375
200.0,-200.0,-3.5546998977661133,455,24700,1.0954711437225342,123500,1.1777271993196337e-06
200.0,-200.0,-0.0008193254470825195,455,24800,1.0984008312225342,124000,9416.4697265625
200.0,-200.0,0.9342581480741501,454,24900,1.097365379333496,124500,3.6065465280898934e-08
200.0,-200.0,-0.005742669105529785,454,25000,1.0983195304870605,125000,9420.6298828125
200.0,-200.0,-8.16586685180664,454,25100,1.0972919464111328,125500,2.56936755249626e-06
200.0,-200.0,0.002264857292175293,454,25200,1.0975898504257202,126000,9410.15625
200.0,-200.0,0.9255075007677078,454,25300,1.0978305339813232,126500,1.4749820920201273e-08
200.0,-200.0,0.001984119415283203,454,25400,1.0982050895690918,127000,9412.306640625
200.0,-200.0,-3.9368371963500977,453,25500,1.098191261291504,127500,2.9486486710084137e-06
200.0,-200.0,-0.0015225410461425781,453,25600,1.0963799953460693,128000,9405.2802734375
200.0,-200.0,-37.57058334350586,453,25700,1.0922555923461914,128500,1.5477417036890984e-07
200.0,-200.0,0.0004881620407104492,453,25800,1.0982191562652588,129000,9417.98046875
200.0,-200.0,-131.92674255371094,453,25900,1.095839262008667,129500,1.8457533315086039e-06
200.0,-200.0,-0.0017139911651611328,452,26000,1.0986065864562988,130000,9421.291015625
200.0,-200.0,0.7876003980636597,452,26100,1.0976061820983887,130500,9.309034680882178e-07
200.0,-200.0,0.0018884539604187012,452,26200,1.098098635673523,131000,9423.2578125
200.0,-200.0,0.8970436900854111,452,26300,1.0958101749420166,131500,6.25976838364295e-07
200.0,-200.0,0.0017126202583312988,452,26400,1.0981688499450684,132000,9413.6357421875
200.0,-200.0,-2095.444580078125,451,26500,1.0936758518218994,132500,2.2219144284463255e-06
200.0,-200.0,0.0007117390632629395,451,26600,1.0979485511779785,133000,9418.5576171875
200.0,-200.0,-18.860870361328125,451,26700,1.0938098430633545,133500,7.33998604118824e-08
200.0,-200.0,-0.0021233558654785156,451,26800,1.0978782176971436,134000,9424.9765625
200.0,-200.0,-8.261260986328125,451,26900,1.0983293056488037,134500,1.5172409462138603e-07
200.0,-200.0,-0.0007789134979248047,450,27000,1.0985487699508667,135000,9428.2470703125
200.0,-200.0,-0.40014851093292236,450,27100,1.0965089797973633,135500,7.9302117228508e-07
200.0,-200.0,0.0018155574798583984,450,27200,1.0977494716644287,136000,9416.9091796875
200.0,-200.0,-16.31617546081543,450,27300,1.0959196090698242,136500,4.267622898623813e-06
